x[m],y[m],z[m],pump_fraction,gi[rad/s],u_norm
-1.704337303564730857e-03,-6.315722476493512792e-04,-7.940229381214327720e-04,8.523887999522831993e-02,6.228898887447351590e+05,9.469724389094865691e-01
7.890855337165424220e-05,-4.136805928286118130e-04,-4.951946212946507254e-04,1.171422950734184315e-01,6.530938428602002095e+05,9.928911680625193137e-01
2.593111756642639759e-04,-1.933256445755164392e-04,-8.550004155670381037e-04,1.171422950734184315e-01,6.434775596988762263e+05,9.782716417496510886e-01
9.517437038708172203e-04,-3.618187256128107469e-04,1.263133649105808217e-03,1.562238908362101608e-01,6.208627202958795242e+05,9.438905576897389516e-01
3.513000447469191972e-04,-4.890129649554721212e-04,1.262868648380824452e-04,1.171422950734184315e-01,6.564678740533932578e+05,9.980206694490543207e-01
-5.909495926809031716e-04,-6.502243471666734748e-04,3.872149919104684581e-04,1.646657906352593237e-01,6.521204520178708481e+05,9.914113329959550747e-01
6.833030117265435240e-09,1.785306765115761939e-03,7.231203461493349461e-04,8.523887999522831993e-02,6.479188445197886322e+05,9.850236767316713493e-01
3.796468005043203593e-04,-1.031221273459919990e-03,-2.303017042904943897e-04,1.562238908362101608e-01,6.556008795086172177e+05,9.967025874679157349e-01
-2.194557378953861972e-04,-7.149903113654465384e-04,-8.057020608988039491e-04,1.171422950734184315e-01,6.451642374440272106e+05,9.808358788111947169e-01
5.397082166485880298e-04,3.026769906857243605e-04,-2.985657295986887953e-04,1.171422950734184315e-01,6.537306982536008582e+05,9.938593720998920578e-01
-1.307663458194634502e-03,-2.265060490535668889e-04,-1.037030338241112429e-04,1.562238908362101608e-01,6.437433466698650736e+05,9.786757146695935772e-01
1.211829266186327525e-03,2.966772955061166119e-04,1.051005840679604527e-03,1.562238908362101608e-01,6.255116797607175540e+05,9.509583180794297652e-01
1.027374607401388903e-03,5.594259965245107014e-04,6.087187382814614189e-04,1.562238908362101608e-01,6.423282121709970525e+05,9.765243017280885729e-01
-2.349741369666932128e-04,8.838295643273741484e-04,-7.609634023897090356e-04,1.562238908362101608e-01,6.464231678922497667e+05,9.827498165046981704e-01
4.279385457016021189e-04,5.263753944504163821e-04,4.649549893769410044e-04,1.171422950734184315e-01,6.522148342475898098e+05,9.915548212302026654e-01
3.357941430773186465e-05,-6.956326881830135695e-04,5.144192674186663216e-04,1.171422950734184315e-01,6.527692563585158205e+05,9.923977028824108038e-01
